scheme,sd_multiplier,species,n_windows,mean_fraction_realized,median_fraction_realized,prop_zero,prop_one
Martigny_only,1,Cinerea,24972,0.16037182279073198,0,0.5502162421912542,0.02735063270863367
Martigny_only,1,Selysi,24972,0.0884974981503093,0,0.6979016498478295,0.008209194297613328
Martigny_only,1.5,Cinerea,24972,0.2526065383705941,0.06666666666666667,0.4458994073362166,0.07556463238827486
Martigny_only,1.5,Selysi,24972,0.13555759169846948,0,0.6346307864808586,0.0249078968444658
Martigny_only,2,Cinerea,24972,0.3412275611118315,0.2,0.3672513214800577,0.14163863527150408
Martigny_only,2,Selysi,24972,0.17983321213939507,0,0.5761252602915266,0.04372897645362806
broad_original,1,Cinerea,24972,0.12360257973056808,0.0125,0.4627582892839981,0.011212558065032836
broad_original,1,Selysi,24972,0.167540577987028,0.0875,0.2721047573282076,0.0028832292167227293
broad_original,1.5,Cinerea,24972,0.2093830387653219,0.0875,0.33457472369053337,0.03391798814672433
broad_original,1.5,Selysi,24972,0.2632175993461884,0.15,0.17555662341822842,0.013735383629665225
broad_original,2,Cinerea,24972,0.3096919303588273,0.1375,0.23318116290245075,0.06783597629344866
broad_original,2,Selysi,24972,0.3626221546703737,0.2625,0.1094826205349992,0.035279513054621174
no_Martigny,1,Cinerea,24972,0.10296433275109393,0,0.6872897645362807,0.01497677398686529
no_Martigny,1,Selysi,24972,0.2216015492907612,0.14,0.2554861444818196,0.011292647765497358
no_Martigny,1.5,Cinerea,24972,0.18163683643140635,0,0.5742431523306103,0.04020502963318917
no_Martigny,1.5,Selysi,24972,0.36132985133826073,0.3,0.1426397565273106,0.04012493993272465
no_Martigny,2,Cinerea,24972,0.2679711213066571,0.04,0.47140797693416625,0.07768700945058465
no_Martigny,2,Selysi,24972,0.503112444668187,0.5,0.07988947621335896,0.10623898766618613
no_Monthey,1,Cinerea,24972,0.13355156982169236,0,0.5037241710716002,0.011092423514336057
no_Monthey,1,Selysi,24972,0.19022187389558845,0.1,0.2794329649207112,0.006767579689251962
no_Monthey,1.5,Cinerea,24972,0.21951208634093464,0.06666666666666667,0.3956831651449624,0.03732180041646644
no_Monthey,1.5,Selysi,24972,0.3159977349234317,0.21666666666666667,0.16686689091782797,0.02687009450584655
no_Monthey,2,Cinerea,24972,0.3070425066550727,0.15,0.3167948101874099,0.08217203267659778
no_Monthey,2,Selysi,24972,0.4483277858503111,0.4,0.09638795450905013,0.069798173954829415
no_Visp,1,Cinerea,24972,0.13996574894040056,0,0.5058865929841423,0.017379465000800898
no_Visp,1,Selysi,24972,0.09815129770740054,0,0.5617892039083774,0.004404933525548615
no_Visp,1.5,Cinerea,24972,0.23492821801687733,0.08,0.38671311869293606,0.05021624219125421
no_Visp,1.5,Selysi,24972,0.14863264951984317,0.02,0.49415345186609,0.01585776069197501
no_Visp,2,Cinerea,24972,0.3377058782026346,0.2,0.29621175716802817,0.09931122857600512
no_Visp,2,Selysi,24972,0.1951161554909753,0.04,0.43536761172513216,0.031355117731859686
strict_all_F1_sites,1,Cinerea,24972,0.12635437404178393,0.0125,0.4712878423834695,0.010651930161781195
strict_all_F1_sites,1,Selysi,24972,0.19065477541195344,0.10714285714285714,0.23626461637033477,0.004204709274387314
strict_all_F1_sites,1.5,Cinerea,24972,0.21509917297849782,0.075,0.3567595707192055,0.03403812269742111
strict_all_F1_sites,1.5,Selysi,24972,0.31523649741678933,0.225,0.13587217683805863,0.01810027230498158
strict_all_F1_sites,2,Cinerea,24972,0.31337021273349963,0.125,0.26806022745474933,0.0693977254525068
strict_all_F1_sites,2,Selysi,24972,0.4467373617181402,0.3875,0.07756687489988788,0.05209835015217043
